Sprite, Number, Name, Type(s), HP, Atk, Def, SpA, SpD, Spe, Ability/Abilities, Color
<img src = "http://www.serebii.net/blackwhite/pokemon/115.png">,#115,Kangaskhan,Normal,105,95,80,40,80,90,Early-bird : The Pokemon awakens quickly from sleep./Scrappy : Enables moves to hit Ghost-type Pokemon./Inner-focus : The Pokemon is protected from flinching.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/116.png">,#116,Horsea,Water,30,40,70,70,25,60,Swift-swim : Boosts the Pokemon's Speed in rain./Sniper : Powers up moves if they become critical hits./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/117.png">,#117,Seadra,Water,55,65,95,95,45,85,Poison-point : Contact with the Pokemon may poison the attacker./Sniper : Powers up moves if they become critical hits./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/118.png">,#118,Goldeen,Water,45,67,60,35,50,63,Swift-swim : Boosts the Pokemon's Speed in rain./Water-veil : Prevents the Pokemon from getting a burn./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/119.png">,#119,Seaking,Water,80,92,65,65,80,68,Swift-swim : Boosts the Pokemon's Speed in rain./Water-veil : Prevents the Pokemon from getting a burn./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/120.png">,#120,Staryu,Water,30,45,55,70,55,85,Illuminate : Raises the likelihood of meeting wild Pokemon./Natural-cure : All status problems heal when it switches out./Analytic : Boosts move power when the Pokemon moves last.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/121.png">,#121,Starmie,Water/Psychic,60,75,85,100,85,115,Illuminate : Raises the likelihood of meeting wild Pokemon./Natural-cure : All status problems heal when it switches out./Analytic : Boosts move power when the Pokemon moves last.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/122.png">,#122,Mr-mime,Psychic,40,45,65,100,120,90,Soundproof : Gives full immunity to all sound-based moves./Filter : Reduces damage from supereffective attacks./Technician : Powers up the Pokemon's weaker moves.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/123.png">,#123,Scyther,Bug/Flying,70,110,80,55,80,105,Swarm : Powers up Bug-type moves in a pinch./Technician : Powers up the Pokemon's weaker moves./Steadfast : Raises Speed each time the Pokemon flinches.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/124.png">,#124,Jynx,Ice/Psychic,65,50,35,115,95,95,Oblivious : Prevents it from becoming infatuated./Forewarn : Determines what moves a foe has./Dry-skin : Reduces HP if it is hot. Water restores HP.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/125.png">,#125,Electabuzz,Electric,65,83,57,95,85,105,Static : Contact with the Pokemon may cause paralysis./Vital-spirit : Prevents the Pokemon from falling asleep.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/126.png">,#126,Magmar,Fire,65,95,57,100,85,93,Flame-body : Contact with the Pokemon may burn the attacker./Vital-spirit : Prevents the Pokemon from falling asleep.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/127.png">,#127,Pinsir,Bug,65,125,100,55,70,85,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Mold-breaker : Moves can be used regardless of Abilities./Moxie : Boosts Attack after knocking out any Pokemon.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/128.png">,#128,Tauros,Normal,75,100,95,40,70,110,Intimidate : Lowers the foe's Attack stat./Anger-point : Maxes Attack after taking a critical hit./Sheer-force : Removes added effects to increase move damage.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/129.png">,#129,Magikarp,Water,20,10,55,15,20,80,Swift-swim : Boosts the Pokemon's Speed in rain./Rattled : Some move types scare it and boost its Speed.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/130.png">,#130,Gyarados,Water/Flying,95,125,79,60,100,81,Intimidate : Lowers the foe's Attack stat./Moxie : Boosts Attack after knocking out any Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/131.png">,#131,Lapras,Water/Ice,130,85,80,85,95,60,Water-absorb : Restores HP if hit by a Water-type move./Shell-armor : The Pokemon is protected against critical hits./Hydration : Heals status problems if it is raining.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/132.png">,#132,Ditto,Normal,48,48,48,48,48,48,Limber : The Pokemon is protected from paralysis./Imposter : It transforms itself into the Pokemon it is facing.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/133.png">,#133,Eevee,Normal,55,55,50,45,65,55,Run-away : Enables a sure getaway from wild Pokemon./Adaptability : Powers up moves of the same type./Anticipation : Senses a foe's dangerous moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/134.png">,#134,Vaporeon,Water,130,65,60,110,95,65,Water-absorb : Restores HP if hit by a Water-type move./Water-absorb : Restores HP if hit by a Water-type move./Hydration : Heals status problems if it is raining.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/135.png">,#135,Jolteon,Electric,65,65,60,110,95,130,Volt-absorb : Restores HP if hit by an Electric-type move./Volt-absorb : Restores HP if hit by an Electric-type move./Quick-feet : Boosts Speed if there is a status problem.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/136.png">,#136,Flareon,Fire,65,130,60,95,110,65,Flash-fire : It powers up Fire-type moves if it's hit by one./Flash-fire : It powers up Fire-type moves if it's hit by one./Guts : Boosts Attack if there is a status problem.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/137.png">,#137,Porygon,Normal,65,60,70,85,75,40,Trace : The Pokemon copies a foe's Ability./Download : Adjusts power according to a foe's defenses./Analytic : Boosts move power when the Pokemon moves last.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/138.png">,#138,Omanyte,Rock/Water,35,40,100,90,55,35,Swift-swim : Boosts the Pokemon's Speed in rain./Shell-armor : The Pokemon is protected against critical hits./Weak-armor : Physical attacks lower Defense and raise Speed.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/139.png">,#139,Omastar,Rock/Water,70,60,125,115,70,55,Swift-swim : Boosts the Pokemon's Speed in rain./Shell-armor : The Pokemon is protected against critical hits./Weak-armor : Physical attacks lower Defense and raise Speed.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/140.png">,#140,Kabuto,Rock/Water,30,80,90,55,45,55,Swift-swim : Boosts the Pokemon's Speed in rain./Battle-armor : The Pokemon is protected against critical hits./Weak-armor : Physical attacks lower Defense and raise Speed.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/141.png">,#141,Kabutops,Rock/Water,60,115,105,65,70,80,Swift-swim : Boosts the Pokemon's Speed in rain./Battle-armor : The Pokemon is protected against critical hits./Weak-armor : Physical attacks lower Defense and raise Speed.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/142.png">,#142,Aerodactyl,Rock/Flying,80,105,65,60,75,130,Rock-head : Protects the Pokemon from recoil damage./Pressure : The Pokemon raises the foe's PP usage./Unnerve : Makes the foe nervous and unable to eat Berries.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/143.png">,#143,Snorlax,Normal,160,110,65,65,110,30,Immunity : Prevents the Pokemon from getting poisoned./Thick-fat : Ups resistance to Fire- and Ice-type moves./Gluttony : Encourages the early use of a held Berry.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/144.png">,#144,Articuno,Ice/Flying,90,85,100,95,125,85,Pressure : The Pokemon raises the foe's PP usage./Snow-cloak : Raises evasion in a hailstorm.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/145.png">,#145,Zapdos,Electric/Flying,90,90,85,125,90,100,Pressure : The Pokemon raises the foe's PP usage./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/146.png">,#146,Moltres,Fire/Flying,90,100,90,125,85,90,Pressure : The Pokemon raises the foe's PP usage./Flame-body : Contact with the Pokemon may burn the attacker.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/147.png">,#147,Dratini,Dragon,41,64,45,50,50,50,Shed-skin : The Pokemon may heal its own status problems./Marvel-scale : Ups Defense if there is a status problem.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/148.png">,#148,Dragonair,Dragon,61,84,65,70,70,70,Shed-skin : The Pokemon may heal its own status problems./Marvel-scale : Ups Defense if there is a status problem.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/149.png">,#149,Dragonite,Dragon/Flying,91,134,95,100,100,80,Inner-focus : The Pokemon is protected from flinching./Multiscale : Reduces damage when HP is full.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/150.png">,#150,Mewtwo,Psychic,106,110,90,154,90,130,Pressure : The Pokemon raises the foe's PP usage./Unnerve : Makes the foe nervous and unable to eat Berries.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/151.png">,#151,Mew,Psychic,100,100,100,100,100,100,Synchronize : Passes a burn.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/152.png">,#152,Chikorita,Grass,45,49,65,49,65,45,Overgrow : Powers up Grass-type moves in a pinch./Leaf-guard : Prevents problems with status in sunny weather.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/153.png">,#153,Bayleef,Grass,60,62,80,63,80,60,Overgrow : Powers up Grass-type moves in a pinch./Leaf-guard : Prevents problems with status in sunny weather.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/154.png">,#154,Meganium,Grass,80,82,100,83,100,80,Overgrow : Powers up Grass-type moves in a pinch./Leaf-guard : Prevents problems with status in sunny weather.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/155.png">,#155,Cyndaquil,Fire,39,52,43,60,50,65,Blaze : Powers up Fire-type moves in a pinch./Flash-fire : It powers up Fire-type moves if it's hit by one.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/156.png">,#156,Quilava,Fire,58,64,58,80,65,80,Blaze : Powers up Fire-type moves in a pinch./Flash-fire : It powers up Fire-type moves if it's hit by one.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/157.png">,#157,Typhlosion,Fire,78,84,78,109,85,100,Blaze : Powers up Fire-type moves in a pinch./Flash-fire : It powers up Fire-type moves if it's hit by one.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/158.png">,#158,Totodile,Water,50,65,64,44,48,43,Torrent : Powers up Water-type moves in a pinch./Sheer-force : Removes added effects to increase move damage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/159.png">,#159,Croconaw,Water,65,80,80,59,63,58,Torrent : Powers up Water-type moves in a pinch./Sheer-force : Removes added effects to increase move damage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/160.png">,#160,Feraligatr,Water,85,105,100,79,83,78,Torrent : Powers up Water-type moves in a pinch./Sheer-force : Removes added effects to increase move damage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/161.png">,#161,Sentret,Normal,35,46,34,35,45,20,Run-away : Enables a sure getaway from wild Pokemon./Keen-eye : Prevents other Pokemon from lowering accuracy./Frisk : The Pokemon can check a foe's held item.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/162.png">,#162,Furret,Normal,85,76,64,45,55,90,Run-away : Enables a sure getaway from wild Pokemon./Keen-eye : Prevents other Pokemon from lowering accuracy./Frisk : The Pokemon can check a foe's held item.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/163.png">,#163,Hoothoot,Normal/Flying,60,30,30,36,56,50,Insomnia : Prevents the Pokemon from falling asleep./Keen-eye : Prevents other Pokemon from lowering accuracy./Tinted-lens : Powers up not very effective moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/164.png">,#164,Noctowl,Normal/Flying,100,50,50,76,96,70,Insomnia : Prevents the Pokemon from falling asleep./Keen-eye : Prevents other Pokemon from lowering accuracy./Tinted-lens : Powers up not very effective moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/165.png">,#165,Ledyba,Bug/Flying,40,20,30,40,80,55,Swarm : Powers up Bug-type moves in a pinch./Early-bird : The Pokemon awakens quickly from sleep./Rattled : Some move types scare it and boost its Speed.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/166.png">,#166,Ledian,Bug/Flying,55,35,50,55,110,85,Swarm : Powers up Bug-type moves in a pinch./Early-bird : The Pokemon awakens quickly from sleep./Iron-fist : Boosts the power of punching moves.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/167.png">,#167,Spinarak,Bug/Poison,40,60,40,40,40,30,Swarm : Powers up Bug-type moves in a pinch./Insomnia : Prevents the Pokemon from falling asleep./Sniper : Powers up moves if they become critical hits.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/168.png">,#168,Ariados,Bug/Poison,70,90,70,60,60,40,Swarm : Powers up Bug-type moves in a pinch./Insomnia : Prevents the Pokemon from falling asleep./Sniper : Powers up moves if they become critical hits.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/169.png">,#169,Crobat,Poison/Flying,85,90,80,70,80,130,Inner-focus : The Pokemon is protected from flinching./Infiltrator : Passes through the foe's barrier and strikes.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/170.png">,#170,Chinchou,Water/Electric,75,38,38,56,56,67,Volt-absorb : Restores HP if hit by an Electric-type move./Illuminate : Raises the likelihood of meeting wild Pokemon./Water-absorb : Restores HP if hit by a Water-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/171.png">,#171,Lanturn,Water/Electric,125,58,58,76,76,67,Volt-absorb : Restores HP if hit by an Electric-type move./Illuminate : Raises the likelihood of meeting wild Pokemon./Water-absorb : Restores HP if hit by a Water-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/172.png">,#172,Pichu,Electric,20,40,15,35,35,60,Static : Contact with the Pokemon may cause paralysis./Lightningrod : Draws in all Electric-type moves to up Sp. Attack.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/173.png">,#173,Cleffa,Normal,50,25,28,45,55,15,Cute-charm : Contact with the Pokemon may cause infatuation./Magic-guard : The Pokemon only takes damage from attacks./Friend-guard : Reduces damage done to allies.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/174.png">,#174,Igglybuff,Normal,90,30,15,40,20,15,Cute-charm : Contact with the Pokemon may cause infatuation./Friend-guard : Reduces damage done to allies.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/175.png">,#175,Togepi,Normal,35,20,65,40,65,20,Hustle : Boosts the Attack stat./Serene-grace : Boosts the likelihood of added effects appearing./Super-luck : Heightens the critical- hit ratios of moves.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/176.png">,#176,Togetic,Normal/Flying,55,40,85,80,105,40,Hustle : Boosts the Attack stat./Serene-grace : Boosts the likelihood of added effects appearing./Super-luck : Heightens the critical- hit ratios of moves.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/177.png">,#177,Natu,Psychic/Flying,40,50,45,70,45,70,Synchronize : Passes a burn./Early-bird : The Pokemon awakens quickly from sleep./Magic-bounce : Reflects status- changing moves.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/178.png">,#178,Xatu,Psychic/Flying,65,75,70,95,70,95,Synchronize : Passes a burn./Early-bird : The Pokemon awakens quickly from sleep./Magic-bounce : Reflects status- changing moves.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/179.png">,#179,Mareep,Electric,55,40,40,65,45,35,Static : Contact with the Pokemon may cause paralysis./Plus : Ups Sp. Atk if another Pokemon has Plus or Minus.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/180.png">,#180,Flaaffy,Electric,70,55,55,80,60,45,Static : Contact with the Pokemon may cause paralysis./Plus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/181.png">,#181,Ampharos,Electric,90,75,75,115,90,55,Static : Contact with the Pokemon may cause paralysis./Plus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/182.png">,#182,Bellossom,Grass,75,80,85,90,100,50,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Healer : May heal an ally's status conditions.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/183.png">,#183,Marill,Water,70,20,50,20,50,40,Thick-fat : Ups resistance to Fire- and Ice-type moves./Huge-power : Raises the Pokemon's Attack stat./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/184.png">,#184,Azumarill,Water,100,50,80,50,80,50,Thick-fat : Ups resistance to Fire- and Ice-type moves./Huge-power : Raises the Pokemon's Attack stat./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/185.png">,#185,Sudowoodo,Rock,70,100,115,30,65,30,Sturdy : It cannot be knocked out with one hit./Rock-head : Protects the Pokemon from recoil damage./Rattled : Some move types scare it and boost its Speed.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/186.png">,#186,Politoed,Water,90,75,75,90,100,70,Water-absorb : Restores HP if hit by a Water-type move./Damp : Prevents the use of self-destructing moves./Drizzle : The Pokemon makes it rain if it appears in battle.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/187.png">,#187,Hoppip,Grass/Flying,35,35,40,35,55,50,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Leaf-guard : Prevents problems with status in sunny weather./Infiltrator : Passes through the foe's barrier and strikes.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/188.png">,#188,Skiploom,Grass/Flying,55,45,50,45,65,80,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Leaf-guard : Prevents problems with status in sunny weather./Infiltrator : Passes through the foe's barrier and strikes.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/189.png">,#189,Jumpluff,Grass/Flying,75,55,70,55,85,110,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Leaf-guard : Prevents problems with status in sunny weather./Infiltrator : Passes through the foe's barrier and strikes.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/190.png">,#190,Aipom,Normal,55,70,55,40,55,85,Run-away : Enables a sure getaway from wild Pokemon./Pickup : The Pokemon may pick up items./Skill-link : Increases the frequency of multi-strike moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/191.png">,#191,Sunkern,Grass,30,30,30,30,30,30,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Solar-power : In sunshine Sp. Atk is boosted but HP decreases./Early-bird : The Pokemon awakens quickly from sleep.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/192.png">,#192,Sunflora,Grass,75,75,55,105,85,30,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Solar-power : In sunshine Sp. Atk is boosted but HP decreases./Early-bird : The Pokemon awakens quickly from sleep.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/193.png">,#193,Yanma,Bug/Flying,65,65,45,75,45,95,Speed-boost : Its Speed stat is gradually boosted./Compoundeyes : The Pokemon's accuracy is boosted./Frisk : The Pokemon can check a foe's held item.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/194.png">,#194,Wooper,Water/Ground,55,45,45,25,25,15,Damp : Prevents the use of self-destructing moves./Water-absorb : Restores HP if hit by a Water-type move./Unaware : Ignores any stat changes in the Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/195.png">,#195,Quagsire,Water/Ground,95,85,85,65,65,35,Damp : Prevents the use of self-destructing moves./Water-absorb : Restores HP if hit by a Water-type move./Unaware : Ignores any stat changes in the Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/196.png">,#196,Espeon,Psychic,65,65,60,130,95,110,Synchronize : Passes a burn./Synchronize : Passes a burn./Magic-bounce : Reflects status- changing moves.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/197.png">,#197,Umbreon,Dark,95,65,110,60,130,65,Synchronize : Passes a burn./Synchronize : Passes a burn./Inner-focus : The Pokemon is protected from flinching.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/198.png">,#198,Murkrow,Dark/Flying,60,85,42,85,42,91,Insomnia : Prevents the Pokemon from falling asleep./Super-luck : Heightens the critical- hit ratios of moves./Prankster : Gives priority to a status move.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/199.png">,#199,Slowking,Water/Psychic,95,75,80,100,110,30,Oblivious : Prevents it from becoming infatuated./Own-tempo : Prevents the Pokemon from becoming confused./Regenerator : Restores a little HP when withdrawn from battle.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/200.png">,#200,Misdreavus,Ghost,60,60,60,85,85,85,Levitate : Gives full immunity to all Ground-type moves.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/201.png">,#201,Unown,Psychic,48,72,48,72,48,48,Levitate : Gives full immunity to all Ground-type moves.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/202.png">,#202,Wobbuffet,Psychic,190,33,58,33,58,33,Shadow-tag : Prevents the foe from escaping./Telepathy : Anticipates an ally's attack and dodges it.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/203.png">,#203,Girafarig,Normal/Psychic,70,80,65,90,65,85,Inner-focus : The Pokemon is protected from flinching./Early-bird : The Pokemon awakens quickly from sleep./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/204.png">,#204,Pineco,Bug,50,65,90,35,35,15,Sturdy : It cannot be knocked out with one hit./Overcoat : Protects the Pokemon from damage from weather.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/205.png">,#205,Forretress,Bug/Steel,75,90,140,60,60,40,Sturdy : It cannot be knocked out with one hit./Overcoat : Protects the Pokemon from damage from weather.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/206.png">,#206,Dunsparce,Normal,100,70,70,65,65,45,Serene-grace : Boosts the likelihood of added effects appearing./Run-away : Enables a sure getaway from wild Pokemon./Rattled : Some move types scare it and boost its Speed.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/207.png">,#207,Gligar,Ground/Flying,65,75,105,35,65,85,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Immunity : Prevents the Pokemon from getting poisoned.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/208.png">,#208,Steelix,Steel/Ground,75,85,200,55,65,30,Rock-head : Protects the Pokemon from recoil damage./Sturdy : It cannot be knocked out with one hit./Sheer-force : Removes added effects to increase move damage.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/209.png">,#209,Snubbull,Normal,60,80,50,40,40,30,Intimidate : Lowers the foe's Attack stat./Run-away : Enables a sure getaway from wild Pokemon./Rattled : Some move types scare it and boost its Speed.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/210.png">,#210,Granbull,Normal,90,120,75,60,60,45,Intimidate : Lowers the foe's Attack stat./Quick-feet : Boosts Speed if there is a status problem./Rattled : Some move types scare it and boost its Speed.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/211.png">,#211,Qwilfish,Water/Poison,65,95,75,55,55,85,Poison-point : Contact with the Pokemon may poison the attacker./Swift-swim : Boosts the Pokemon's Speed in rain./Intimidate : Lowers the foe's Attack stat.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/212.png">,#212,Scizor,Bug/Steel,70,130,100,55,80,65,Swarm : Powers up Bug-type moves in a pinch./Technician : Powers up the Pokemon's weaker moves./Light-metal : Halves the Pokemon's weight.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/213.png">,#213,Shuckle,Bug/Rock,20,10,230,10,230,5,Sturdy : It cannot be knocked out with one hit./Gluttony : Encourages the early use of a held Berry./Contrary : Makes stat changes have an opposite effect.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/214.png">,#214,Heracross,Bug/Fighting,80,125,75,40,95,85,Swarm : Powers up Bug-type moves in a pinch./Guts : Boosts Attack if there is a status problem./Moxie : Boosts Attack after knocking out any Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/215.png">,#215,Sneasel,Dark/Ice,55,95,55,35,75,115,Inner-focus : The Pokemon is protected from flinching./Keen-eye : Prevents other Pokemon from lowering accuracy./Pickpocket : Steals an item when hit by another Pokemon.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/216.png">,#216,Teddiursa,Normal,60,80,50,50,50,40,Pickup : The Pokemon may pick up items./Quick-feet : Boosts Speed if there is a status problem./Honey-gather : The Pokemon may gather Honey from somewhere.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/217.png">,#217,Ursaring,Normal,90,130,75,75,75,55,Guts : Boosts Attack if there is a status problem./Quick-feet : Boosts Speed if there is a status problem./Unnerve : Makes the foe nervous and unable to eat Berries.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/218.png">,#218,Slugma,Fire,40,40,40,70,40,20,Magma-armor : Prevents the Pokemon from becoming frozen./Flame-body : Contact with the Pokemon may burn the attacker./Weak-armor : Physical attacks lower Defense and raise Speed.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/219.png">,#219,Magcargo,Fire/Rock,50,50,120,80,80,30,Magma-armor : Prevents the Pokemon from becoming frozen./Flame-body : Contact with the Pokemon may burn the attacker./Weak-armor : Physical attacks lower Defense and raise Speed.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/220.png">,#220,Swinub,Ice/Ground,50,50,40,30,30,50,Oblivious : Prevents it from becoming infatuated./Snow-cloak : Raises evasion in a hailstorm./Thick-fat : Ups resistance to Fire- and Ice-type moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/221.png">,#221,Piloswine,Ice/Ground,100,100,80,60,60,50,Oblivious : Prevents it from becoming infatuated./Snow-cloak : Raises evasion in a hailstorm./Thick-fat : Ups resistance to Fire- and Ice-type moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/222.png">,#222,Corsola,Water/Rock,55,55,85,65,85,35,Hustle : Boosts the Attack stat./Natural-cure : All status problems heal when it switches out./Regenerator : Restores a little HP when withdrawn from battle.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/223.png">,#223,Remoraid,Water,35,65,35,65,35,65,Hustle : Boosts the Attack stat./Sniper : Powers up moves if they become critical hits./Moody : Raises one stat and lowers another.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/224.png">,#224,Octillery,Water,75,105,75,105,75,45,Suction-cups : Negates all moves that force switching out./Sniper : Powers up moves if they become critical hits./Moody : Raises one stat and lowers another.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/225.png">,#225,Delibird,Ice/Flying,45,55,45,65,45,75,Vital-spirit : Prevents the Pokemon from falling asleep./Hustle : Boosts the Attack stat./Insomnia : Prevents the Pokemon from falling asleep.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/226.png">,#226,Mantine,Water/Flying,65,40,70,80,140,70,Swift-swim : Boosts the Pokemon's Speed in rain./Water-absorb : Restores HP if hit by a Water-type move./Water-veil : Prevents the Pokemon from getting a burn.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/227.png">,#227,Skarmory,Steel/Flying,65,80,140,40,70,70,Keen-eye : Prevents other Pokemon from lowering accuracy./Sturdy : It cannot be knocked out with one hit./Weak-armor : Physical attacks lower Defense and raise Speed.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/228.png">,#228,Houndour,Dark/Fire,45,60,30,80,50,65,Early-bird : The Pokemon awakens quickly from sleep./Flash-fire : It powers up Fire-type moves if it's hit by one./Unnerve : Makes the foe nervous and unable to eat Berries.,Black
